condition,output_throughput,mean_ttft_ms,p99_ttft_ms,mean_itl_ms,p99_itl_ms,mean_tpot_ms,p99_tpot_ms
OFF,253.64227670320676,1192.695222273469,2478.3830438554287,21.68639370364936,306.9909003376961,21.686390458833515,28.673015740795396
ON / 4096,262.4248695305837,1366.4082646369934,2182.8423049300914,19.14956362404692,374.42942559719097,19.149558893221567,27.58270073828735
ON / 2048,256.82724944554764,1103.8246718794107,2202.705303281547,22.16390593314734,206.54561966657639,22.163903314297595,27.538427661840373
ON / 1024,250.94604837543676,947.6295405626297,2387.0146907866015,24.123961307753728,114.41515505313875,24.123956367490795,27.921416162271196
