condition,output_throughput,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms
Prefix Cache OFF,89.74700623514886,222.9922202974558,236.5124034136534,9.46769914875819,9.610107465405164
Prefix Cache ON,99.33231108763931,80.7525035738945,92.937255948782,9.503736559330948,9.666419037449078
