config,label,max_num_seqs,kv_blocks,preemptions,duration_s,request_throughput,output_throughput,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms
queue,Sequence limit,4,,0,66.11146762222052,1.5125968851792562,193.6124013029448,2879.1372279822826,3519.320097938182,18.262077489589146,18.72516956326999,18.26208191887131,303.88358078897
kv_512,512 blocks,8,512.0,1,310.48401629179716,0.3220777713272641,164.90381891955923,18191.00806608796,19145.167994201183,11.56941608104804,11.86348894308458,11.569417212778108,12.059355527162552
kv_2048,2048 blocks,8,2048.0,0,111.46844712644815,0.8971148569654108,459.32280676629034,1423.1886145472527,2334.76456977427,14.102475233448924,16.386974604249932,14.102476361388096,14.948817491531393
