input_length,output_throughput,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms
128,104.82343252577832,28.790270760655403,32.21889160573485,9.383408207827665,9.549213493550855
512,102.6987299008672,55.04904232919216,63.185115233063705,9.375692160697433,9.554636085361947
1024,101.072729278457,72.96312406659126,80.41739948093891,9.39241174931132,9.544634746871596
2048,96.75146657319195,127.22558796405792,136.9962064176798,9.410142481444389,9.592973016730443
